,Book-Title,Avg-Rating,Number,Image-URL-M
0,Night,10.0,4,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
4,"All the Pretty Horses (Border Trilogy, Vol 1)",10.0,2,http://images.amazon.com/images/P/0394574745.01.MZZZZZZZ.jpg
6,Answered Prayers,10.0,2,http://images.amazon.com/images/P/044023672X.01.MZZZZZZZ.jpg
8,By the Light of the Moon,10.0,2,http://images.amazon.com/images/P/0553582763.01.MZZZZZZZ.jpg
10,Carrie,10.0,2,http://images.amazon.com/images/P/0385086954.01.MZZZZZZZ.jpg
12,Dune (Remembering Tomorrow),10.0,2,http://images.amazon.com/images/P/0441172717.01.MZZZZZZZ.jpg
14,Holes (Newbery Medal Book),10.0,2,http://images.amazon.com/images/P/0374332657.01.MZZZZZZZ.jpg
16,It's Always Something,10.0,2,http://images.amazon.com/images/P/0671638688.01.MZZZZZZZ.jpg
18,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,10.0,2,http://images.amazon.com/images/P/0028604202.01.MZZZZZZZ.jpg
20,Silent Prey,10.0,2,http://images.amazon.com/images/P/0425137562.01.MZZZZZZZ.jpg
