,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,User-ID,Book-Rating
0,1565936973,Central Auditory Processing Disorders: New Perspectives,Gail D. Chermak,1997,Singular Publishing Group Inc,http://images.amazon.com/images/P/1565936973.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565936973.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565936973.01.LZZZZZZZ.jpg,136139.0,7.0
1,0440200563,Fine Things,Danielle Steel,1988,Dell,http://images.amazon.com/images/P/0440200563.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440200563.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440200563.01.LZZZZZZZ.jpg,242143.0,0.0
2,0684861593,Amy and Isabelle,Elizabeth Strout,0,Simon Schuster Trade,http://images.amazon.com/images/P/0684861593.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684861593.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684861593.01.LZZZZZZZ.jpg,151537.0,0.0
3,1891620487,American Greats,Robert A. Wilson,1999,PublicAffairs,http://images.amazon.com/images/P/1891620487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1891620487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1891620487.01.LZZZZZZZ.jpg,231237.0,10.0
4,2877302962,Bleu presque transparent,RyÃ?Â» Murakami,1999,Philippe Picquier,http://images.amazon.com/images/P/2877302962.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2877302962.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2877302962.01.LZZZZZZZ.jpg,33943.0,0.0
5,0446363499,A Coral Kiss,Jayne Ann Krentz,1992,Warner Books,http://images.amazon.com/images/P/0446363499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446363499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446363499.01.LZZZZZZZ.jpg,52853.0,0.0
6,0525945253,The Kid: What Happened After My Boyfriend and I Decided to Go Get Pregnant : An Adoption Story,Dan Savage,1999,Dutton Books,http://images.amazon.com/images/P/0525945253.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525945253.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525945253.01.LZZZZZZZ.jpg,92861.0,0.0
7,0062517864,The Monk Downstairs : A Novel,Tim Farrington,2003,HarperSanFrancisco,http://images.amazon.com/images/P/0062517864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062517864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062517864.01.LZZZZZZZ.jpg,192710.0,0.0
8,0525945792,Fearless Living: Live Without Excuses and Love Without Regret,Rhonda Britten,2001,Dutton Books,http://images.amazon.com/images/P/0525945792.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525945792.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525945792.01.LZZZZZZZ.jpg,94369.0,10.0
9,0553348973,Still Life with Woodpecker,TOM ROBBINS,1990,Bantam,http://images.amazon.com/images/P/0553348973.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553348973.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553348973.01.LZZZZZZZ.jpg,273086.0,7.0
10,0769604315,Yee Haw,Landoll,2001,Landoll,http://images.amazon.com/images/P/0769604315.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0769604315.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0769604315.01.LZZZZZZZ.jpg,153662.0,6.0
